strain	accession	source	related_id	completeness	length	quality	host	country	division	city	date	originating_lab	submission date	submitting_lab
Wuhan-Hu-1/2019	MN908947	GenBank	NC_045512, EPI_ISL_402125	Complete	29903	High	Homo sapiens	China	Hubei	Wuhan	2019-12-30		2020-01-17	Shanghai Public Health Clinical Center & School of Public Health, Fudan University, Shanghai, China
2019-nCoV/WHU01	MN988668	GenBank	EPI_ISL_406716	Complete	29881	High	Homo sapiens	China	Hubei	Wuhan	2020-01-02	State Key Laboratory of Virology, Wuhan University	2020-01-23	State Key Laboratory of Virology, Wuhan University
2019-nCoV/WHU02	MN988669	GenBank	EPI_ISL_406717	Complete	29881	High	Homo sapiens	China	Hubei	Wuhan	2020-01-02	State Key Laboratory of Virology, Wuhan University	2020-01-23	State Key Laboratory of Virology, Wuhan University
BetaCoV/Wuhan/WH-01/2019	CNA0007332	CNGBdb	LR757998, EPI_ISL_406798, NMDC60013002-01	Complete	29834	High	Homo sapiens	China	Hubei	Wuhan	2019-12-26	General Hospital of Central Theater Command of People's Liberation Army of China	2020-01-30	BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention
hCoV-19/Turkey/ERAGEM-001/2020	EPI_ISL_424366	GISAID		Complete	29903	High	Homo sapiens	Turkey		Kayseri	2020-03-17	Vaccine Research, Development and Application Center, Erciyes University	2020-04-13	Gen Era Diagnostics Inc.
hCoV-19/Turkey/GLAB-CoV013/2020	EPI_ISL_428368	GISAID		Complete	29903	High	Homo sapiens	Turkey		Istanbul	2020-04-16	Genomic Laboratory (GLAB) (Conjoint lab of Health Directorate of Istanbul and Istanbul Technical University)	2020-04-16	Genomic Laboratory (GLAB), Istanbul Technical University
hCoV-19/Turkey/GLAB-CoV012/2020	EPI_ISL_428346	GISAID		Complete	29903	High	Homo sapiens	Turkey		Istanbul	2020-04-17	Genomic Laboratory (GLAB) (Conjoint lab of Health Directorate of Istanbul and Istanbul Technical University)	2020-04-17	Genomic Laboratory (GLAB), Istanbul Technical University
hCoV-19/Turkey/GLAB-CoV008/2020	EPI_ISL_427391	GISAID		Complete	29903	High	Homo sapiens	Turkey		Istanbul	2020-04-13	Genomic Laboratory (GLAB) (Conjoint lab of Health Directorate of Istanbul and Istanbul Technical University)	2020-04-13	Genomic Laboratory (GLAB), Istanbul Technical University
hCoV-19/Turkey/HSGM-5769/2020	EPI_ISL_428717	GISAID		Complete	29638	High	Homo sapiens	Turkey		Kocaeli	2020-03-19	Ministry of Health Turkey	2020-03-19	Ministry of Health Turkey
hCoV-19/Turkey/HSGM-5711/2020	EPI_ISL_428716	GISAID		Complete	29638	High	Homo sapiens	Turkey		Ankara	2020-03-18	Ministry of Health Turkey	2020-03-18	Ministry of Health Turkey
